;frase;ner
1;" The Dark Mark  had been set over it — well, frankly, I’m surprised he  stayed alive for even a year after deserting the Death  Eaters; Sirius’s brother, Regulus, only managed a few  days as far as I can remember";[{'label': 'PRODUCT', 'start': 1, 'end': 14}, {'label': ‘PERSON', 'start': 136, 'end': 142}, {'label': 'DATE', 'start': 176, 'end': 187}]
2; It  was a pompous little sign, neatly lettered by hand,  the sort of thing that Percy Weasley might have stuck  on his bedroom door:   Do Not Enter   Without the Express Permission of  Regulus Arcturus Black   Excitement trickled through Harry, but he was not  immediately sure why;[{'label': 'PERSON', 'start': 81, 'end': 94}, {'label': 'ORG', 'start': 159, 'end': 181}]
3;”   Harry held the paper up to the candlelight and read:  BLACK STILL AT LARGE   Sirius Black, possibly the most infamous prisoner  ever to be held in Azkaban fortress, is still eluding  capture, the Ministry of Magic confirmed today;[{'label': 'PERSON', 'start': 81, 'end': 93}, {'label': ‘ORG', 'start': 151, 'end': 158}, {'label': 'ORG', 'start': 196, 'end': 217}, {'label': 'DATE', 'start': 228, 'end': 233}]
4;        Harry spent the long sunny days exploring the shops  and eating under the brightly colored umbrellas  outside cafes, where his fellow diners were showing  one another their purchases (“it’s a lunascope, old  boy — no more messing around with moon charts,  see?”) or else discussing the case of Sirius Black  (“personally, I won’t let any of the children out alone  until he’s back in Azkaban”);[{'label': 'DATE', 'start': 20, 'end': 39}, {'label': ‘PERSON', 'start': 302, 'end': 314}]
5; What she did have were Bertie Bott’s  Every Flavor Beans, Drooble’s Best Blowing Gum,  Chocolate Frogs, Pumpkin Pasties, Cauldron Cakes,  Licorice Wands, and a number of other strange things  Harry had never seen in his life;[{'label': 'PERSON', 'start': 24, 'end': 35}, {'label': 'PRODUCT', 'start': 39, 'end': 57}, {'label': 'PRODUCT', 'start': 88, 'end': 120}, {'label': 'PRODUCT', 'start': 139, 'end': 153}]
6;"   Choose, unless you wish to stay here forevermore,   To help you in your choice, we give you these clues  four:   First, however slyly the poison tries to hide   You will always find some on nettle wine’s left side;   Second, different are those who stand at either end,   But if you would move onward, neither is your friend;   Third, as you see clearly, all are different size,   Neither dwarf nor giant holds death in their insides;   Fourth, the second left and the second on the right   Are twins once you taste them, though different at first  sight         Hermione let out a great sigh and Harry, amazed, saw  that she was smiling, the very last thing he felt like  doing";[{'label': 'CARDINAL', 'start': 108, 'end': 112}, {'label': 'ORDINAL', 'start': 116, 'end': 121}, {'label': 'ORDINAL', 'start': 220, 'end': 226}, {'label': 'ORDINAL', 'start': 331, 'end': 336}, {'label': 'ORDINAL', 'start': 440, 'end': 446}, {'label': 'ORDINAL', 'start': 452, 'end': 458}, {'label': 'ORDINAL', 'start': 472, 'end': 478}, {'label': 'ORDINAL', 'start': 545, 'end': 550}, {'label': 'PRODUCT', 'start': 552, 'end': 566}, {'label': 'PERSON', 'start': 600, 'end': 605}]
7;   Scabbers the rat was hanging off his finger, sharp  little teeth sunk deep into Goyle ’s knuckle — Crabbe  and Malfoy backed away as Goyle swung Scabbers  round and round, howling, and when Scabbers finally  flew off and hit the window, all three of them  disappeared at once;[{'label': 'PERSON', 'start': 83, 'end': 88}, {'label': 'PERSON', 'start': 114, 'end': 120}, {'label': 'PERSON', 'start': 136, 'end': 141}, {'label': 'CARDINAL', 'start': 244, 'end': 249}]
8;”   Malfoy swaggered forward when his name was called  and got his wish at once: the hat had barely touched  his head when it screamed, “SLYTHERIN!”   Malfoy went to join his friends Crabbe and Goyle,  looking pleased with himself;[{'label': 'PERSON', 'start': 183, 'end': 189}, {'label': 'PERSON', 'start': 194, 'end': 199}]
9;”   “Oh Bagman’s likable enough, of course,” said Percy  dismissively, “but how he ever got to be Head of  Department  when I compare him to Mr Crouch! I  can’t see Mr Crouch losing a member of our  department and not trying to find out what’s  happened to them;[{'label': 'WORK_OF_ART', 'start': 5, 'end': 16}, {'label': 'PERSON', 'start': 50, 'end': 57}, {'label': 'PERSON', 'start': 144, 'end': 150}, {'label': 'PERSON', 'start': 168, 'end': 174}]
10;  Mr Crouch has been taking a personal interest, she  worked in our department at one time, you know, and  I think Mr Crouch was quite fond of her — but  Bagman just keeps laughing and saying she probably  misread the map and ended up in Australia instead of  Albania;[{'label': 'PERSON', 'start': 5, 'end': 11}, {'label': 'CARDINAL', 'start': 82, 'end': 85}, {'label': 'PERSON', 'start': 118, 'end': 124}, {'label': 'GPE', 'start': 238, 'end': 247}, {'label': 'GPE', 'start': 260, 'end': 267}]
11; “Why  are you disturbing these people? Minerva, I’m  surprised at you — I asked you to stand guard over  Barty Crouch — ”   “There is no need to stand guard over him anymore,  Dumbledore!” she shrieked;[{'label': 'PERSON', 'start': 40, 'end': 47}, {'label': 'PERSON', 'start': 106, 'end': 118}]
12;   “The champion for Beauxbatons,” said Dumbledore,   “is Fleur Delacour!”   “It’s her, Ron!” Harry shouted as the girl who so  resembled a veela got gracefully to her feet, shook  back her sheet of silvery blonde hair, and swept up  between the Ravenclaw and Hufflepuff tables;[{'label': 'ORG', 'start': 21, 'end': 32}, {'label': 'PERSON', 'start': 40, 'end': 50}, {'label': ‘PERSON', 'start': 58, 'end': 72}, {'label': 'PERSON', 'start': 88, 'end': 91}, {'label': 'PERSON', 'start': 94, 'end': 99}, {'label': 'ORG', 'start': 246, 'end': 255}, {'label': 'PERSON', 'start': 260, 'end': 270}]
13;" “Miss Delacour, if you please!”     Fleur was trembling from head to foot; Harry felt more  warmly toward her than he had done so far as she left  the tent with her head held high and her hand  clutching her wand";[{'label': 'PERSON', 'start': 7, 'end': 15}]
